Tighrine;kenza;kenza@kenza.kenza;0612345678;04/08/1995
aa;bb;zerz@zeze.fr;0123456789;01/01/2000
alala;elelele;test@test.fr;0123456789;01/01/1998
zz;zz;azz@dzzedz.fr;0123456789;01/01/2334
a;a;ergherhni@frjngzre.Fr;0987654321;02/05/2000
rezra;eeee;zrezr@erzar.fr;0123456789;03/05/4352
Smith;John;jsmith@email.com;0612345678;01/01/1980
Johnson;Jane;jjohnson@email.com;0623456789;02/15/1985
Williams;Bob;bwilliams@email.com;0634567890;03/20/1990
Jones;Samantha;sjones@email.com;0645678901;04/10/1995
Brown;Michael;mbrown@email.com;0601234567;05/05/2000
Davis;Emily;edavis@email.com;0602345678;06/20/2005
Miller;Jacob;jmiller@email.com;0603456789;07/15/2010
Wilson;Madison;mwilson@email.com;0604567890;08/10/2015
Moore;Emily;emoore@email.com;0600123456;09/05/2020
Taylor;Madison;mtaylor@email.com;0600012345;10/01/2025
fzetz;gdfgfddfg;arteza@fefzf.fr;0123456789;04/04/4221
Banane;Alex;AlexLaBanane@patate.cheveux;0102030405;07/02/3290
test;tesrezeazea;test@test.com;0781934939;24/07/2004
